iter	Passed	Remaining
985	14516	206
986	14532	191
987	14547	176
988	14562	161
989	14576	147
990	14592	132
991	14607	117
992	14621	103
993	14634	88
994	14646	73
995	14658	58
996	14670	44
997	14682	29
998	14697	14
999	14708	0
